FID	IID	Guides_individual_petal_Jas	Petal_LW_ratio_UV_pictures_Jas	Guides_3_petals_Jas	Guides_individual_petal_Haf	Petal_LW_ratio_UV_pictures_Haf	Guides_3_petals_Haf	DTF_corrected	DTF_deduced	late_early	SLA_mm2_per_mg	Leaf_total_N	Leaf_total_C	C_N_ratio
ARG0049	ARG0049	NA	NA	NA	NA	NA	NA	NA	116	0	1824.53	2.845947414	39.3712232	13.83413587
ARG0050	ARG0050	NA	NA	NA	NA	NA	NA	112	112	0	1885.48	2.834898821	39.34063373	13.87726202
ARG0051	ARG0051	NA	NA	NA	NA	NA	NA	118	118	0	2263.91	3.822081934	40.52948098	10.60403248
ARG0052	ARG0052	NA	NA	NA	NA	NA	NA	125	125	0	1736.79	3.310953308	38.93302706	11.75885717
ARG0053	ARG0053	0.180376155	3.573797687	0.211220023	0.298636442	4.124577238	0.290985202	124	124	0	2165.34	3.892764988	48.03624305	12.33987749
ARG0054	ARG0054	0.338476503	2.485680035	0.407438013	0.503656474	2.355484031	0.469496588	110	110	0	1619.17	3.518032969	41.04989555	11.66842264
ARG0055	ARG0055	NA	NA	NA	NA	NA	NA	119	119	0	2322.19	3.34912406	42.80914727	12.78219215
ARG0056	ARG0056	NA	NA	NA	NA	NA	NA	128	128	0	1926.73	3.275376084	41.52310525	12.67735496
ARG0057	ARG0057	NA	NA	NA	NA	NA	NA	124	124	0	2231.61	4.020381215	42.57927702	10.59085563
ARG0058	ARG0058	0.322924072	NA	0.264893512	0.33331339	3.022495671	0.303522313	128	128	0	2291.69	3.772774912	41.82709027	11.08655863
ARG0059	ARG0059	NA	NA	NA	NA	NA	NA	119	119	0	2041.28	4.403239875	40.59118735	9.218481958
ARG0060	ARG0060	NA	NA	NA	NA	NA	NA	119	119	0	NA	3.503314382	40.22856881	11.48300279
ARG0061	ARG0061	NA	NA	NA	NA	NA	NA	139	139	0	1673.64	3.034628753	41.72397371	13.74928438
ARG0062N	ARG0062N	NA	NA	NA	NA	NA	NA	139	139	0	2034.2	3.125	40.093	12.83063171
ARG0063	ARG0063	0.285113819	2.850050294	0.265797985	0.392924595	2.576224004	0.361050032	122	122	0	2135.91	3.173265394	40.92440193	12.89662126
ARG0064	ARG0064	0.167638623	2.605005134	0.215407211	0.212965202	2.648630363	0.225735284	112	112	0	2803.4	3.484177643	41.11520263	11.80054717
ARG0065	ARG0065	0.247857715	2.305573689	0.342959829	0.380220975	2.527350208	0.437785526	115	115	0	2532.86	3.385092317	38.63466101	11.41317796
ARG0066	ARG0066	0.260064135	2.344637398	0.302201165	0.375732968	2.389133073	0.423816257	119	119	0	2229.26	2.762592895	39.34718035	14.24284425
ARG0067	ARG0067	0.16601158	2.698021296	0.214539079	0.25217446	2.699388882	0.223384849	122	122	0	2768.5	3.768948724	41.281645	10.95309277
ARG0068	ARG0068	0.317238041	2.928034568	0.320670831	0.38418105	2.785374542	0.324652161	118	118	0	2165.19	2.941417516	37.49585391	12.7475456
ARG0069	ARG0069	NA	NA	NA	NA	NA	NA	112	112	0	1635.15	2.808884157	38.7629351	13.80011881
ARG0070	ARG0070	NA	NA	NA	NA	NA	NA	119	119	0	1862.11	2.698651252	38.8125734	14.38221162
ARG0071	ARG0071	NA	NA	NA	NA	NA	NA	98	98	0	1575.89	3.7904574	41.44241503	10.93335465
ARG0072	ARG0072	NA	NA	NA	NA	NA	NA	118	118	0	1688.03	3.574862774	40.86065922	11.42999376
ARG0073	ARG0073	0.272651109	2.264926485	0.291661602	0.321114222	2.388527764	0.30993452	114	114	0	2440.84	3.925609937	42.27068069	10.76792686
ARG0074	ARG0074	NA	NA	NA	NA	NA	NA	116	116	0	2519.45	3.466294345	41.43414435	11.95344083
ARG0075	ARG0075	NA	NA	NA	NA	NA	NA	131	131	0	1728.96	2.515098032	40.60569525	16.14477636
