sv_name	sv_species_name	trait	pvalue
ann15.01	annuus_ann15.01	Leaf_eccentricity_area_index	0.97
ann16.01	annuus_ann16.01	Leaf_eccentricity_area_index	0.693
ann16.02	annuus_ann16.02	Leaf_eccentricity_area_index	0.701
ann17.01	annuus_ann17.01	Leaf_eccentricity_area_index	0.691
ann01.01	annuus_ann01.01	Leaf_eccentricity	0.626
ann05.01	annuus_ann05.01	Leaf_eccentricity	0.376
ann11.01	annuus_ann11.01	Leaf_eccentricity	0.613
ann13.01	annuus_ann13.01	Leaf_eccentricity	0.593
ann13.02	annuus_ann13.02	Leaf_eccentricity	0.574
ann14.01	annuus_ann14.01	Leaf_eccentricity	0.136
ann14.02	annuus_ann14.02	Leaf_eccentricity	0.585
ann15.01	annuus_ann15.01	Leaf_eccentricity	0.614
ann16.01	annuus_ann16.01	Leaf_eccentricity	0.221
ann16.02	annuus_ann16.02	Leaf_eccentricity	0.482
ann17.01	annuus_ann17.01	Leaf_eccentricity	0.788
ann01.01	annuus_ann01.01	Leaf_ellipsoid	0.242
ann05.01	annuus_ann05.01	Leaf_ellipsoid	0.567
ann11.01	annuus_ann11.01	Leaf_ellipsoid	0.00574
ann13.01	annuus_ann13.01	Leaf_ellipsoid	0.378
ann13.02	annuus_ann13.02	Leaf_ellipsoid	0.841
ann14.01	annuus_ann14.01	Leaf_ellipsoid	0.962
ann14.02	annuus_ann14.02	Leaf_ellipsoid	0.372
ann15.01	annuus_ann15.01	Leaf_ellipsoid	0.107
ann16.01	annuus_ann16.01	Leaf_ellipsoid	0.393
ann16.02	annuus_ann16.02	Leaf_ellipsoid	0.92
ann17.01	annuus_ann17.01	Leaf_ellipsoid	0.724
ann01.01	annuus_ann01.01	Leaf_height_mid-width	0.375
ann05.01	annuus_ann05.01	Leaf_height_mid-width	0.321
ann11.01	annuus_ann11.01	Leaf_height_mid-width	0.131
ann13.01	annuus_ann13.01	Leaf_height_mid-width	0.2
ann13.02	annuus_ann13.02	Leaf_height_mid-width	0.761
ann14.01	annuus_ann14.01	Leaf_height_mid-width	0.0793
ann14.02	annuus_ann14.02	Leaf_height_mid-width	0.00223
ann15.01	annuus_ann15.01	Leaf_height_mid-width	0.0325
ann16.01	annuus_ann16.01	Leaf_height_mid-width	0.276
ann16.02	annuus_ann16.02	Leaf_height_mid-width	0.167
ann17.01	annuus_ann17.01	Leaf_height_mid-width	0.301
ann01.01	annuus_ann01.01	Leaf_maximum_height	0.509
ann05.01	annuus_ann05.01	Leaf_maximum_height	0.7
ann11.01	annuus_ann11.01	Leaf_maximum_height	0.0629
ann13.01	annuus_ann13.01	Leaf_maximum_height	0.138
ann13.02	annuus_ann13.02	Leaf_maximum_height	0.97
ann14.01	annuus_ann14.01	Leaf_maximum_height	0.249
ann14.02	annuus_ann14.02	Leaf_maximum_height	0.0102
ann15.01	annuus_ann15.01	Leaf_maximum_height	0.166
ann16.01	annuus_ann16.01	Leaf_maximum_height	0.259
ann16.02	annuus_ann16.02	Leaf_maximum_height	0.313
ann17.01	annuus_ann17.01	Leaf_maximum_height	0.593
ann01.01	annuus_ann01.01	Leaf_maximum_width	0.94
ann05.01	annuus_ann05.01	Leaf_maximum_width	0.487
ann11.01	annuus_ann11.01	Leaf_maximum_width	0.104
ann13.01	annuus_ann13.01	Leaf_maximum_width	0.302
ann13.02	annuus_ann13.02	Leaf_maximum_width	0.715
ann14.01	annuus_ann14.01	Leaf_maximum_width	0.329
ann14.02	annuus_ann14.02	Leaf_maximum_width	0.0584
ann15.01	annuus_ann15.01	Leaf_maximum_width	0.392
ann16.01	annuus_ann16.01	Leaf_maximum_width	0.551
ann16.02	annuus_ann16.02	Leaf_maximum_width	0.894
ann17.01	annuus_ann17.01	Leaf_maximum_width	0.183
ann01.01	annuus_ann01.01	Leaf_obovoid	0.132
ann05.01	annuus_ann05.01	Leaf_obovoid	0.601
ann11.01	annuus_ann11.01	Leaf_obovoid	0.0998
ann13.01	annuus_ann13.01	Leaf_obovoid	0.576
ann13.02	annuus_ann13.02	Leaf_obovoid	0.782
ann14.01	annuus_ann14.01	Leaf_obovoid	0.126
ann14.02	annuus_ann14.02	Leaf_obovoid	0.819
ann15.01	annuus_ann15.01	Leaf_obovoid	0.00796
ann16.01	annuus_ann16.01	Leaf_obovoid	0.153
ann16.02	annuus_ann16.02	Leaf_obovoid	0.334
ann17.01	annuus_ann17.01	Leaf_obovoid	0.329
ann01.01	annuus_ann01.01	Leaf_perimeter	0.995
ann05.01	annuus_ann05.01	Leaf_perimeter	0.611
ann11.01	annuus_ann11.01	Leaf_perimeter	0.0244
ann13.01	annuus_ann13.01	Leaf_perimeter	0.326
ann13.02	annuus_ann13.02	Leaf_perimeter	0.925
ann14.01	annuus_ann14.01	Leaf_perimeter	0.681
ann14.02	annuus_ann14.02	Leaf_perimeter	0.0286
ann15.01	annuus_ann15.01	Leaf_perimeter	0.253
ann16.01	annuus_ann16.01	Leaf_perimeter	0.397
ann16.02	annuus_ann16.02	Leaf_perimeter	0.469
ann17.01	annuus_ann17.01	Leaf_perimeter	0.559
ann01.01	annuus_ann01.01	Leaf_proximal_eccentricity	0.456
ann05.01	annuus_ann05.01	Leaf_proximal_eccentricity	0.185
ann11.01	annuus_ann11.01	Leaf_proximal_eccentricity	0.487
ann13.01	annuus_ann13.01	Leaf_proximal_eccentricity	0.497
ann13.02	annuus_ann13.02	Leaf_proximal_eccentricity	0.726
ann14.01	annuus_ann14.01	Leaf_proximal_eccentricity	0.0536
ann14.02	annuus_ann14.02	Leaf_proximal_eccentricity	0.492
ann15.01	annuus_ann15.01	Leaf_proximal_eccentricity	0.871
ann16.01	annuus_ann16.01	Leaf_proximal_eccentricity	0.229
ann16.02	annuus_ann16.02	Leaf_proximal_eccentricity	0.66
ann17.01	annuus_ann17.01	Leaf_proximal_eccentricity	0.869
ann01.01	annuus_ann01.01	Leaf_rectangular	0.483
ann05.01	annuus_ann05.01	Leaf_rectangular	0.0216
ann11.01	annuus_ann11.01	Leaf_rectangular	0.022
ann13.01	annuus_ann13.01	Leaf_rectangular	0.767
ann13.02	annuus_ann13.02	Leaf_rectangular	0.803
ann14.01	annuus_ann14.01	Leaf_rectangular	0.169
ann14.02	annuus_ann14.02	Leaf_rectangular	0.327
