bam	gvcf	name	species	population	is_wild	project
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1239.bam	/scratch/jslegare/data/gwas/variants/ANN1239.bam.g.vcf.gz	ANN1239	Ann	ANN_44	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1243.bam	/scratch/jslegare/data/gwas/variants/ANN1243.bam.g.vcf.gz	ANN1243	Ann	ANN_45	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1251.bam	/scratch/jslegare/data/gwas/variants/ANN1251.bam.g.vcf.gz	ANN1251	Ann	ANN_46	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1257.bam	/scratch/jslegare/data/gwas/variants/ANN1257.bam.g.vcf.gz	ANN1257	Ann	ANN_46	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1267.bam	/scratch/jslegare/data/gwas/variants/ANN1267.bam.g.vcf.gz	ANN1267	Ann	ANN_47	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1271.bam	/scratch/jslegare/data/gwas/variants/ANN1271.bam.g.vcf.gz	ANN1271	Ann	ANN_48	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1275.bam	/scratch/jslegare/data/gwas/variants/ANN1275.bam.g.vcf.gz	ANN1275	Ann	ANN_48	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1296.bam	/scratch/jslegare/data/gwas/variants/ANN1296.bam.g.vcf.gz	ANN1296	Ann	ANN_50	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1301.bam	/scratch/jslegare/data/gwas/variants/ANN1301.bam.g.vcf.gz	ANN1301	Ann	ANN_51	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1313.bam	/scratch/jslegare/data/gwas/variants/ANN1313.bam.g.vcf.gz	ANN1313	Ann	ANN_52	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1321.bam	/scratch/jslegare/data/gwas/variants/ANN1321.bam.g.vcf.gz	ANN1321	Ann	ANN_53	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1353.bam	/scratch/jslegare/data/gwas/variants/ANN1353.bam.g.vcf.gz	ANN1353	Ann	ANN_56	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1355.bam	/scratch/jslegare/data/gwas/variants/ANN1355.bam.g.vcf.gz	ANN1355	Ann	ANN_56	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1357.bam	/scratch/jslegare/data/gwas/variants/ANN1357.bam.g.vcf.gz	ANN1357	Ann	ANN_56	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1372.bam	/scratch/jslegare/data/gwas/variants/ANN1372.bam.g.vcf.gz	ANN1372	Ann	ANN_58	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1376.bam	/scratch/jslegare/data/gwas/variants/ANN1376.bam.g.vcf.gz	ANN1376	Ann	ANN_58	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1383.bam	/scratch/jslegare/data/gwas/variants/ANN1383.bam.g.vcf.gz	ANN1383	Ann	ANN_59	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1393.bam	/scratch/jslegare/data/gwas/variants/ANN1393.bam.g.vcf.gz	ANN1393	Ann	ANN_60	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1395.bam	/scratch/jslegare/data/gwas/variants/ANN1395.bam.g.vcf.gz	ANN1395	Ann	ANN_60	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ANN1401.bam	/scratch/jslegare/data/gwas/variants/ANN1401.bam.g.vcf.gz	ANN1401	Ann	ANN_61	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0010.bam	/scratch/jslegare/data/gwas/variants/ARG0010.bam.g.vcf.gz	ARG0010	Arg	ARG_01	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0015.bam	/scratch/jslegare/data/gwas/variants/ARG0015.bam.g.vcf.gz	ARG0015	Arg	ARG_02	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0016.bam	/scratch/jslegare/data/gwas/variants/ARG0016.bam.g.vcf.gz	ARG0016	Arg	ARG_02	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0018.bam	/scratch/jslegare/data/gwas/variants/ARG0018.bam.g.vcf.gz	ARG0018	Arg	ARG_02	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0028.bam	/scratch/jslegare/data/gwas/variants/ARG0028.bam.g.vcf.gz	ARG0028	Arg	ARG_03	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0032.bam	/scratch/jslegare/data/gwas/variants/ARG0032.bam.g.vcf.gz	ARG0032	Arg	ARG_04	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0055.bam	/scratch/jslegare/data/gwas/variants/ARG0055.bam.g.vcf.gz	ARG0055	Arg	ARG_06	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0078.bam	/scratch/jslegare/data/gwas/variants/ARG0078.bam.g.vcf.gz	ARG0078	Arg	ARG_08	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0107.bam	/scratch/jslegare/data/gwas/variants/ARG0107.bam.g.vcf.gz	ARG0107	Arg	ARG_11	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0111.bam	/scratch/jslegare/data/gwas/variants/ARG0111.bam.g.vcf.gz	ARG0111	Arg	ARG_12	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0128.bam	/scratch/jslegare/data/gwas/variants/ARG0128.bam.g.vcf.gz	ARG0128	Arg	ARG_13	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0154.bam	/scratch/jslegare/data/gwas/variants/ARG0154.bam.g.vcf.gz	ARG0154	Arg	ARG_16	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0163.bam	/scratch/jslegare/data/gwas/variants/ARG0163.bam.g.vcf.gz	ARG0163	Arg	ARG_17	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0166.bam	/scratch/jslegare/data/gwas/variants/ARG0166.bam.g.vcf.gz	ARG0166	Arg	ARG_17	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0177.bam	/scratch/jslegare/data/gwas/variants/ARG0177.bam.g.vcf.gz	ARG0177	Arg	ARG_18	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0185.bam	/scratch/jslegare/data/gwas/variants/ARG0185.bam.g.vcf.gz	ARG0185	Arg	ARG_19	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0189.bam	/scratch/jslegare/data/gwas/variants/ARG0189.bam.g.vcf.gz	ARG0189	Arg	ARG_19	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0203.bam	/scratch/jslegare/data/gwas/variants/ARG0203.bam.g.vcf.gz	ARG0203	Arg	ARG_21	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0205.bam	/scratch/jslegare/data/gwas/variants/ARG0205.bam.g.vcf.gz	ARG0205	Arg	ARG_21	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0227.bam	/scratch/jslegare/data/gwas/variants/ARG0227.bam.g.vcf.gz	ARG0227	Arg	ARG_23	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0229.bam	/scratch/jslegare/data/gwas/variants/ARG0229.bam.g.vcf.gz	ARG0229	Arg	ARG_23	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0232.bam	/scratch/jslegare/data/gwas/variants/ARG0232.bam.g.vcf.gz	ARG0232	Arg	ARG_24	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_ARG0269.bam	/scratch/jslegare/data/gwas/variants/ARG0269.bam.g.vcf.gz	ARG0269	Arg	ARG_27	wild	wild_gwas
