name	region	color
ARG0122	6a	#FFFF33
ARG0123	6a	#FF7F00
ARG0124	6a	#FF7F00
ARG0125	6a	#FF7F00
ARG0126	6a	#FF7F00
ARG0127	6a	#FF7F00
ARG0128	6a	#FF7F00
ARG0129	6a	#984EA3
ARG0130	6a	#FF7F00
ARG0131	6a	#984EA3
ARG0132	6a	#FF7F00
ARG0133	6a	#984EA3
ARG0134N	6a	#FF7F00
ARG0135	6a	#984EA3
ARG0136N	6a	#984EA3
ARG0137	6a	#984EA3
ARG0138	6a	#984EA3
ARG0139	6a	#984EA3
ARG0140	6a	#FFFF33
ARG0141	6a	#984EA3
ARG0142	6a	#FF7F00
ARG0143	6a	#FFFF33
ARG0144	6a	#984EA3
ARG0145	6a	#984EA3
ARG0146	6a	#984EA3
ARG0147	6a	#984EA3
ARG0148	6a	#984EA3
ARG0149	6a	#984EA3
ARG0150	6a	#984EA3
ARG0151	6a	#984EA3
ARG0152	6a	#984EA3
ARG0153	6a	#984EA3
ARG0154	6a	#984EA3
ARG0155	6a	#984EA3
ARG0156	6a	#984EA3
ARG0157	6a	#984EA3
ARG0158	6a	#984EA3
ARG0159	6a	#984EA3
ARG0160	6a	#984EA3
ARG0161	6a	#FF7F00
ARG0162	6a	#984EA3
ARG0163	6a	#984EA3
ARG0164	6a	#FF7F00
ARG0166	6a	#FF7F00
ARG0167	6a	#984EA3
ARG0168	6a	#984EA3
ARG0169	6a	#984EA3
ARG0170	6a	#984EA3
ARG0171	6a	#FFFF33
ARG0172	6a	#FFFF33
ARG0173	6a	#FF7F00
ARG0174	6a	#FF7F00
ARG0175	6a	#FF7F00
ARG0176	6a	#FF7F00
ARG0177	6a	#FFFF33
ARG0178	6a	#FF7F00
ARG0179	6a	#FF7F00
ARG0180	6a	#FFFF33
ARG0181	6a	#FF7F00
ARG0182	6a	#984EA3
ARG0183	6a	#984EA3
ARG0184	6a	#FF7F00
ARG0185	6a	#984EA3
ARG0186	6a	#FF7F00
