name	region	color
PET0475	7a	#E41A1C
PET0476	7a	#E41A1C
PET0477	7a	#E41A1C
PET0478	7a	#E41A1C
PET0479	7a	#E41A1C
PET0480	7a	#E41A1C
PET0481	7a	#E41A1C
PET0482	7a	#E41A1C
PET0483	7a	#E41A1C
PET0484	7a	#E41A1C
PET0485	7a	#E41A1C
PET0486	7a	#E41A1C
PET0487	7a	#E41A1C
PET0488	7a	#E41A1C
PET0489	7a	#E41A1C
PET0490	7a	#E41A1C
PET0491	7a	#E41A1C
PET0492	7a	#E41A1C
PET0493	7a	#E41A1C
PET0494	7a	#E41A1C
PET0495	7a	#E41A1C
PET0496	7a	#E41A1C
PET0497	7a	#E41A1C
PET0498	7a	#E41A1C
PET0499	7a	#E41A1C
PET0500	7a	#E41A1C
PET0501	7a	#E41A1C
PET0502	7a	#E41A1C
PET0503	7a	#E41A1C
PET0504	7a	#E41A1C
PET0505	7a	#E41A1C
PET0506	7a	#E41A1C
PET0507	7a	#E41A1C
PET0508	7a	#E41A1C
PET0509	7a	#E41A1C
PET0510	7a	#E41A1C
PET0511	7a	#E41A1C
PET0512	7a	#E41A1C
PET0513	7a	#E41A1C
PET0514	7a	#E41A1C
PET0515	7a	#E41A1C
PET0516	7a	#E41A1C
PET0517	7a	#E41A1C
PET0518	7a	#E41A1C
PET0519	7a	#E41A1C
PET0520	7a	#E41A1C
PET0521	7a	#E41A1C
PET0522	7a	#E41A1C
PET0523	7a	#E41A1C
PET0524	7a	#E41A1C
PET0526	7a	#E41A1C
PET0527	7a	#E41A1C
PET0528	7a	#E41A1C
PET0529	7a	#E41A1C
PET0530	7a	#E41A1C
PET0531	7a	#E41A1C
PET0532	7a	#E41A1C
PET0534N	7a	#E41A1C
PET0535	7a	#E41A1C
PET0536	7a	#E41A1C
PET0537	7a	#E41A1C
PET0539	7a	#E41A1C
PET0540	7a	#E41A1C
PET0541N	7a	#E41A1C
PET0542N	7a	#E41A1C
PET0543	7a	#E41A1C
PET0544	7a	#E41A1C
PET0545	7a	#E41A1C
PET0546	7a	#E41A1C
PET0547	7a	#E41A1C
PET0548	7a	#E41A1C
PET0549	7a	#E41A1C
PET0550	7a	#E41A1C
PET0552	7a	#E41A1C
PET0553	7a	#E41A1C
PET0554	7a	#E41A1C
PET0555	7a	#E41A1C
PET0556	7a	#E41A1C
PET0557	7a	#E41A1C
PET0558	7a	#E41A1C
PET0559	7a	#E41A1C
PET0560	7a	#E41A1C
PET0561	7a	#E41A1C
PET0562	7a	#E41A1C
PET0563	7a	#E41A1C
PET0564	7a	#E41A1C
PET0565	7a	#E41A1C
PET0566	7a	#E41A1C
PET0568	7a	#E41A1C
PET0569N	7a	#E41A1C
PET0570	7a	#E41A1C
PET0571	7a	#E41A1C
PET0572	7a	#E41A1C
PET0573	7a	#E41A1C
PET0574	7a	#E41A1C
PET0575	7a	#E41A1C
PET0576	7a	#E41A1C
PET0578	7a	#E41A1C
PET0579	7a	#E41A1C
PET0580	7a	#E41A1C
PET0581	7a	#E41A1C
PET0582	7a	#E41A1C
