INDIVIDUAL	POPULATION_NAt	DTF	SLA
ANN1137	ANN_34	51	16.2889875
ANN1138	ANN_34	52	21.13483445
ANN1139	ANN_34	58	24.4144311
ANN1140	ANN_34	72	26.06306842
ANN1141	ANN_35	49	23.26475644
ANN1142	ANN_35	64	24.57788854
ANN1143	ANN_35	43	38.9919993
ANN1144	ANN_35	36	23.29446699
ANN1145	ANN_35	50	24.40243242
ANN1146	ANN_35	57	25.90022917
ANN1147	ANN_35	48	27.93074131
ANN1148	ANN_35	43	23.77619711
ANN1149	ANN_35	45	19.06840735
ANN1150	ANN_35	46	23.5601037
ANN1151	ANN_36	47	20.5423056
ANN1152	ANN_36	50	17.9935466
ANN1153	ANN_36	35	20.70450532
ANN1154	ANN_36	32	17.31677801
ANN1155	ANN_36	43	22.98337463
ANN1156	ANN_36	40	37.3157474
ANN1157	ANN_36	44	21.31047408
ANN1158	ANN_36	37	NA
ANN1159	ANN_36	39	19.70455155
ANN1160	ANN_36	43	26.0072595
ANN1161	ANN_37	55	14.88203676
ANN1162	ANN_37	58	27.5395201
ANN1163	ANN_37	52	16.09603213
ANN1164	ANN_37	44	25.29939594
ANN1165	ANN_37	61	24.21426552
ANN1166	ANN_37	55	26.83362646
ANN1167	ANN_37	68	19.66790242
ANN1168	ANN_37	63	19.57558196
ANN1169	ANN_37	62	17.65635353
ANN1170	ANN_37	68	26.96369324
ANN1171	ANN_38	68	11.63538059
ANN1172	ANN_38	67	15.32659498
ANN1173	ANN_38	77	11.629953
ANN1174	ANN_38	94	10.04028553
ANN1175	ANN_38	72	17.07213681
ANN1176	ANN_38	59	17.33143521
ANN1177	ANN_38	85	16.63983321
ANN1178	ANN_38	54	20.64472711
ANN1179	ANN_38	76	14.59728644
ANN1180	ANN_38	64	14.92071629
ANN1181	ANN_39	119	10.62143281
ANN1182	ANN_39	110	13.72739419
ANN1183	ANN_39	102	14.53554635
ANN1184	ANN_39	94	14.96299537
ANN1185	ANN_39	114	11.60373168
ANN1186	ANN_39	90	14.22238819
ANN1187	ANN_39	114	17.0263265
ANN1188	ANN_39	103	12.21528315
ANN1189	ANN_39	114	14.55676609
ANN1190	ANN_39	108	14.80922211
ANN1191	ANN_40	61	19.76045816
ANN1192	ANN_40	52	16.19610955
ANN1193	ANN_40	91	13.09433355
ANN1194	ANN_40	58	19.06657401
ANN1195	ANN_40	33	21.05683113
ANN1196	ANN_40	58	14.82293992
ANN1197	ANN_40	66	NA
ANN1198	ANN_40	68	23.30936006
ANN1199	ANN_40	72	19.00813422
ANN1200	ANN_40	76	18.42798146
ANN1201	ANN_41	69	19.80393054
ANN1202	ANN_41	71	16.19726912
ANN1203	ANN_41	114	10.12857414
ANN1204	ANN_41	83	13.89816978
ANN1205	ANN_41	112	17.07469972
ANN1206	ANN_41	94	9.043599797
ANN1207	ANN_41	102	16.10754722
ANN1208	ANN_41	118	14.46457502
ANN1209	ANN_41	NA	13.28730802
ANN1210	ANN_41	102	13.35092192
ANN1211	ANN_42	61	24.90233395
ANN1212	ANN_42	56	21.16273962
ANN1213	ANN_42	58	18.75449214
ANN1214	ANN_42	62	17.24148022
ANN1215	ANN_42	61	19.15482945
ANN1216	ANN_42	52	26.0680502
ANN1217	ANN_42	59	17.93140233
ANN1218	ANN_42	58	20.36727737
ANN1219	ANN_42	58	22.02350972
ANN1220	ANN_42	53	17.50280955
ANN1221	ANN_43	51	25.13724814
ANN1222	ANN_43	50	50.01998249
ANN1223	ANN_43	54	26.96029081
ANN1224	ANN_43	50	24.5102473
ANN1225	ANN_43	61	18.97244139
ANN1226	ANN_43	56	23.03805796
ANN1227	ANN_43	52	22.21425501
ANN1228	ANN_43	52	12.12571755
ANN1229	ANN_43	56	31.69206433
ANN1230	ANN_43	56	25.50417069
ANN1231	ANN_44	53	22.74425283
ANN1232	ANN_44	50	26.36491425
ANN1233	ANN_44	44	53.4959917
